week,day,session,block,exercise,sets,reps,intensity,rest,tempo,duration,progression,notes
1-4,1,A,warm-up,Dynamic upper-body prep,1,8-10 reps/movement,bodyweight,-,controlled,5 min,-,Arm circles band pull-aparts cat-cow
1-4,1,A,strength,Barbell bench press,3,10-12,65-70% 1RM / RPE 7,90s,3-0-1,,double progression 10-12 then +5%,Primary horizontal push (Wk07 Ch11 Table 9-12)
1-4,1,A,strength,Chest-supported dumbbell row,3,10-12,RPE 7,75s,2-0-2,,double progression 10-12 then +5%,Primary horizontal pull (Wk03 Ch9 p49)
1-4,1,A,strength,Goblet squat,3,10-12,RPE 7,90s,3-0-1,,2-for-2 rule then +5-10%,Bend-and-lift lower compound (Wk02 Ch2 p12)
1-4,1,A,hypertrophy,Dumbbell lateral raise,3,12-15,RPE 8,60s,2-0-1,,double progression 12-15 then +5%,Lateral deltoid isolation (Wk07 Ch11 p13)
1-4,1,A,hypertrophy,Cable overhead triceps extension,3,10-12,RPE 8,60s,2-0-2,,double progression 10-12 then +5%,Triceps long-head isolation (Wk03 Ch9 p46)
1-4,1,A,cool-down,Static chest and shoulder stretch,1,2-3 reps,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP (Wk07 Ch11 Table 11-7)
1-4,2,B,warm-up,Dynamic upper-body prep,1,8-10 reps/movement,bodyweight,-,controlled,5 min,-,Thoracic rotations band dislocates
1-4,2,B,strength,Seated dumbbell overhead press,3,10-12,RPE 7,90s,3-0-1,,double progression 10-12 then +5%,Primary vertical push scapular plane (Wk10 Ch15 p92)
1-4,2,B,strength,Lat pulldown,3,10-12,65-70% 1RM / RPE 7,75s,2-0-2,,double progression 10-12 then +5%,Primary vertical pull (Wk03 Ch9 p49)
1-4,2,B,strength,Romanian deadlift,3,10-12,RPE 7,90s,3-0-1,,2-for-2 rule then +5-10%,Hip-hinge posterior chain (Wk02 Ch2 p12)
1-4,2,B,hypertrophy,Incline dumbbell bicep curl,3,10-12,RPE 8,60s,2-0-2,,double progression 10-12 then +5%,Biceps long-head stretch (Wk03 Ch9 p49)
1-4,2,B,cool-down,Static lat and hamstring stretch,1,2-3 reps,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP (Wk07 Ch11 Table 11-7)
